key,truth,prediction
647,"{'heading': '065', 'target': 'brown, blue, and black drone', 'tool': 'EMP'}","{'heading': '065', 'tool': 'emp', 'target': 'brown, blue, and black drone'}"
648,"{'heading': '055', 'target': 'red helicopter', 'tool': 'EMP'}","{'heading': '055', 'tool': 'emp', 'target': 'red helicopter'}"
649,"{'heading': '120', 'target': 'orange, green, and blue missile', 'tool': 'EMP'}","{'heading': '120', 'tool': 'emp', 'target': 'orange, green, and blue missile'}"
650,"{'heading': '235', 'target': 'white, orange, and yellow missile', 'tool': 'anti-air artillery'}","{'heading': '235', 'tool': 'anti - air artillery', 'target': 'white, orange, and yellow missile'}"
651,"{'heading': '175', 'target': 'grey fighter plane', 'tool': 'interceptor jets'}","{'heading': '175', 'tool': 'interceptor jets', 'target': 'grey fighter plane'}"
652,"{'heading': '150', 'target': 'orange fighter jet', 'tool': 'machine gun'}","{'heading': '150', 'tool': 'machine gun', 'target': 'orange fighter jet'}"
653,"{'heading': '330', 'target': 'black fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'electromagnetic pulse', 'target': 'black fighter jet'}"
654,"{'heading': '275', 'target': 'silver, red, and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '275', 'tool': 'electromagnetic pulse', 'target': 'silver, red, and purple fighter plane'}"
655,"{'heading': '045', 'target': 'white and green cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '045', 'tool': 'electromagnetic pulse', 'target': 'white and green cargo aircraft'}"
656,"{'heading': '035', 'target': 'orange, black, and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '035', 'tool': 'anti - air artillery', 'target': 'orange, black, and white light aircraft'}"
657,"{'heading': '295', 'target': 'yellow, white, and orange light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '295', 'tool': 'electromagnetic pulse', 'target': 'yellow, white, and orange light aircraft'}"
658,"{'heading': '090', 'target': 'grey and green missile', 'tool': 'machine gun'}","{'heading': '090', 'tool': 'machine gun', 'target': 'grey and green missile'}"
659,"{'heading': '165', 'target': 'white and red helicopter', 'tool': 'EMP'}","{'heading': '165', 'tool': 'emp', 'target': 'white and red helicopter'}"
660,"{'heading': '245', 'target': 'green drone', 'tool': 'drone catcher'}","{'heading': '245', 'tool': 'drone catcher', 'target': 'green drone'}"
661,"{'heading': '075', 'target': 'red, white, and purple commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '075', 'tool': 'surface - to - air missiles', 'target': 'red, white, and purple commercial aircraft'}"
662,"{'heading': '095', 'target': 'orange cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '095', 'tool': 'interceptor jets', 'target': 'orange cargo aircraft'}"
663,"{'heading': '315', 'target': 'green helicopter', 'tool': 'anti-air artillery'}","{'heading': '315', 'tool': 'anti - air artillery', 'target': 'green helicopter'}"
664,"{'heading': '205', 'target': 'yellow camouflage fighter jet', 'tool': 'interceptor jets'}","{'heading': '205', 'tool': 'interceptor jets', 'target': 'yellow camouflage fighter jet'}"
665,"{'heading': '010', 'target': 'yellow, white, and silver missile', 'tool': 'EMP'}","{'heading': '010', 'tool': 'emp', 'target': 'yellow, white, and silver missile'}"
666,"{'heading': '165', 'target': 'white and green fighter plane', 'tool': 'machine gun'}","{'heading': '165', 'tool': 'machine gun', 'target': 'white and green fighter plane'}"
667,"{'heading': '020', 'target': 'blue, red, and white helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '020', 'tool': 'electromagnetic pulse', 'target': 'blue, red, and white helicopter'}"
668,"{'heading': '230', 'target': 'purple missile', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'surface - to - air missiles', 'target': 'purple missile'}"
669,"{'heading': '155', 'target': 'yellow and green fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': 'surface - to - air missiles', 'target': 'yellow and green fighter plane'}"
670,"{'heading': '170', 'target': 'white helicopter', 'tool': 'machine gun'}","{'heading': '170', 'tool': 'machine gun', 'target': 'white helicopter'}"
671,"{'heading': '005', 'target': 'silver commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '005', 'tool': 'surface - to - air missiles', 'target': 'silver commercial aircraft'}"
672,"{'heading': '110', 'target': 'yellow, grey, and silver fighter plane', 'tool': 'machine gun'}","{'heading': '110', 'tool': 'machine gun', 'target': 'yellow, grey, and silver fighter plane'}"
673,"{'heading': '200', 'target': 'silver and yellow missile', 'tool': 'EMP'}","{'heading': '200', 'tool': 'emp', 'target': 'silver and yellow missile'}"
674,"{'heading': '005', 'target': 'green, orange, and silver commercial aircraft', 'tool': 'EMP'}","{'heading': '005', 'tool': 'emp', 'target': 'green, orange, and silver commercial aircraft'}"
675,"{'heading': '140', 'target': 'blue and yellow fighter plane', 'tool': 'machine gun'}","{'heading': '140', 'tool': 'machine gun', 'target': 'blue and yellow fighter plane'}"
676,"{'heading': '065', 'target': 'orange and blue missile', 'tool': 'anti-air artillery'}","{'heading': '065', 'tool': 'anti - air artillery', 'target': 'orange and blue missile'}"
677,"{'heading': '045', 'target': 'silver commercial aircraft', 'tool': 'EMP'}","{'heading': '045', 'tool': 'emp', 'target': 'silver commercial aircraft'}"
678,"{'heading': '025', 'target': 'yellow and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '025', 'tool': 'surface - to - air missiles', 'target': 'yellow and grey cargo aircraft'}"
679,"{'heading': '155', 'target': 'orange and brown commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '155', 'tool': 'interceptor jets', 'target': 'orange and brown commercial aircraft'}"
680,"{'heading': '150', 'target': 'white, black, and purple drone', 'tool': 'drone catcher'}","{'heading': '150', 'tool': 'drone catcher', 'target': 'white, black, and purple drone'}"
681,"{'heading': '265', 'target': 'yellow and red missile', 'tool': 'machine gun'}","{'heading': '265', 'tool': 'machine gun', 'target': 'yellow and red missile'}"
682,"{'heading': '290', 'target': 'brown camouflage helicopter', 'tool': 'machine gun'}","{'heading': '290', 'tool': 'machine gun', 'target': 'brown camouflage helicopter'}"
683,"{'heading': '320', 'target': 'red and grey camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '320', 'tool': 'emp', 'target': 'red and grey camouflage cargo aircraft'}"
684,"{'heading': '085', 'target': 'silver commercial aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': 'emp', 'target': 'silver commercial aircraft'}"
685,"{'heading': '300', 'target': 'yellow cargo aircraft', 'tool': 'EMP'}","{'heading': '300', 'tool': 'emp', 'target': 'yellow cargo aircraft'}"
686,"{'heading': '040', 'target': 'yellow, orange, and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '040', 'tool': 'emp', 'target': 'yellow, orange, and silver cargo aircraft'}"
687,"{'heading': '255', 'target': 'grey, purple, and yellow drone', 'tool': 'anti-air artillery'}","{'heading': '255', 'tool': 'anti - air artillery', 'target': 'grey, purple, and yellow drone'}"
688,"{'heading': '190', 'target': 'brown and orange helicopter', 'tool': 'EMP'}","{'heading': '190', 'tool': 'emp', 'target': 'brown and orange helicopter'}"
689,"{'heading': '115', 'target': 'brown, black, and purple helicopter', 'tool': 'EMP'}","{'heading': '115', 'tool': 'emp', 'target': 'brown, black, and purple helicopter'}"
690,"{'heading': '095', 'target': 'yellow drone', 'tool': 'drone catcher'}","{'heading': '095', 'tool': 'drone catcher', 'target': 'yellow drone'}"
691,"{'heading': '285', 'target': 'black and purple drone', 'tool': 'drone catcher'}","{'heading': '285', 'tool': 'drone catcher', 'target': 'black and purple drone'}"
692,"{'heading': '150', 'target': 'white and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '150', 'tool': 'electromagnetic pulse', 'target': 'white and purple fighter plane'}"
693,"{'heading': '160', 'target': 'red and silver helicopter', 'tool': 'EMP'}","{'heading': '160', 'tool': 'emp', 'target': 'red and silver helicopter'}"
694,"{'heading': '280', 'target': 'blue and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '280', 'tool': 'emp', 'target': 'blue and silver cargo aircraft'}"
695,"{'heading': '115', 'target': 'silver helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '115', 'tool': 'surface - to - air missiles', 'target': 'silver helicopter'}"
696,"{'heading': '200', 'target': 'brown and green fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '200', 'tool': 'electromagnetic pulse', 'target': 'brown and green fighter plane'}"
697,"{'heading': '145', 'target': 'white commercial aircraft', 'tool': 'EMP'}","{'heading': '145', 'tool': 'emp', 'target': 'white commercial aircraft'}"
698,"{'heading': '220', 'target': 'brown fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '220', 'tool': 'electromagnetic pulse', 'target': 'brown fighter plane'}"
699,"{'heading': '035', 'target': 'silver and green light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '035', 'tool': 'surface - to - air missiles', 'target': 'silver and green light aircraft'}"
700,"{'heading': '250', 'target': 'blue and white fighter plane', 'tool': 'anti-air artillery'}","{'heading': '250', 'tool': 'anti - air artillery', 'target': 'blue and white fighter plane'}"
701,"{'heading': '055', 'target': 'red, yellow, and brown missile', 'tool': 'EMP'}","{'heading': '055', 'tool': 'emp', 'target': 'red, yellow, and brown missile'}"
702,"{'heading': '260', 'target': 'orange, red, and purple light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '260', 'tool': 'electromagnetic pulse', 'target': 'orange, red, and purple light aircraft'}"
703,"{'heading': '180', 'target': 'grey and blue fighter jet', 'tool': 'machine gun'}","{'heading': '180', 'tool': 'machine gun', 'target': 'grey and blue fighter jet'}"
704,"{'heading': '050', 'target': 'grey missile', 'tool': 'surface-to-air missiles'}","{'heading': '050', 'tool': 'surface - to - air missiles', 'target': 'grey missile'}"
705,"{'heading': '180', 'target': 'orange, green, and purple fighter plane', 'tool': 'anti-air artillery'}","{'heading': '180', 'tool': 'anti - air artillery', 'target': 'orange, green, and purple fighter plane'}"
706,"{'heading': '350', 'target': 'green, red, and white fighter jet', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'machine gun', 'target': 'green, red, and white fighter jet'}"
707,"{'heading': '360', 'target': 'green light aircraft', 'tool': 'anti-air artillery'}","{'heading': '360', 'tool': 'anti - air artillery', 'target': 'green light aircraft'}"
708,"{'heading': '145', 'target': 'yellow helicopter', 'tool': 'anti-air artillery'}","{'heading': '145', 'tool': 'anti - air artillery', 'target': 'yellow helicopter'}"
709,"{'heading': '145', 'target': 'brown, green, and black helicopter', 'tool': 'machine gun'}","{'heading': '145', 'tool': 'machine gun', 'target': 'brown, green, and black helicopter'}"
710,"{'heading': '160', 'target': 'yellow cargo aircraft', 'tool': 'EMP'}","{'heading': '160', 'tool': 'emp', 'target': 'yellow cargo aircraft'}"
711,"{'heading': '010', 'target': 'grey and silver camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '010', 'tool': 'emp', 'target': 'grey and silver camouflage cargo aircraft'}"
712,"{'heading': '340', 'target': 'blue, black, and yellow light aircraft', 'tool': 'EMP'}","{'heading': '340', 'tool': 'emp', 'target': 'blue, black, and yellow light aircraft'}"
713,"{'heading': '125', 'target': 'red and blue drone', 'tool': 'machine gun'}","{'heading': '125', 'tool': 'machine gun', 'target': 'red and blue drone'}"
714,"{'heading': '200', 'target': 'orange and white fighter jet', 'tool': 'EMP'}","{'heading': '200', 'tool': 'emp', 'target': 'orange and white fighter jet'}"
715,"{'heading': '290', 'target': 'brown, silver, and blue cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '290', 'tool': 'anti - air artillery', 'target': 'brown, silver, and blue cargo aircraft'}"
716,"{'heading': '095', 'target': 'white and purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '095', 'tool': 'anti - air artillery', 'target': 'white and purple helicopter'}"
717,"{'heading': '175', 'target': 'orange and black helicopter', 'tool': 'EMP'}","{'heading': '175', 'tool': 'emp', 'target': 'orange and black helicopter'}"
718,"{'heading': '315', 'target': 'green and white light aircraft', 'tool': 'EMP'}","{'heading': '315', 'tool': 'emp', 'target': 'green and white light aircraft'}"
719,"{'heading': '335', 'target': 'black, purple, and white fighter jet', 'tool': 'machine gun'}","{'heading': '335', 'tool': 'machine gun', 'target': 'black, purple, and white fighter jet'}"
720,"{'heading': '120', 'target': 'black fighter jet', 'tool': 'interceptor jets'}","{'heading': '120', 'tool': 'interceptor jets', 'target': 'black fighter jet'}"
721,"{'heading': '085', 'target': 'yellow and orange camouflage light aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': 'emp', 'target': 'yellow and orange camouflage light aircraft'}"
722,"{'heading': '140', 'target': 'brown, white, and grey fighter plane', 'tool': 'anti-air artillery'}","{'heading': '140', 'tool': 'anti - air artillery', 'target': 'brown, white, and grey fighter plane'}"
723,"{'heading': '060', 'target': 'silver, red, and brown drone', 'tool': 'machine gun'}","{'heading': '060', 'tool': 'machine gun', 'target': 'silver, red, and brown drone'}"
724,"{'heading': '040', 'target': 'white, yellow, and orange light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '040', 'tool': 'electromagnetic pulse', 'target': 'white, yellow, and orange light aircraft'}"
725,"{'heading': '155', 'target': 'orange, brown, and black fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': 'surface - to - air missiles', 'target': 'orange, brown, and black fighter plane'}"
726,"{'heading': '100', 'target': 'green and grey fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '100', 'tool': 'surface - to - air missiles', 'target': 'green and grey fighter plane'}"
727,"{'heading': '305', 'target': 'brown camouflage cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '305', 'tool': 'surface - to - air missiles', 'target': 'brown camouflage cargo aircraft'}"
728,"{'heading': '160', 'target': 'red and purple fighter jet', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti - air artillery', 'target': 'red and purple fighter jet'}"
729,"{'heading': '080', 'target': 'black, white, and blue drone', 'tool': 'drone catcher'}","{'heading': '080', 'tool': 'drone catcher', 'target': 'black, white, and blue drone'}"
730,"{'heading': '130', 'target': 'green and yellow commercial aircraft', 'tool': 'EMP'}","{'heading': '130', 'tool': 'emp', 'target': 'green and yellow commercial aircraft'}"
731,"{'heading': '260', 'target': 'silver missile', 'tool': 'EMP'}","{'heading': '260', 'tool': 'emp', 'target': 'silver missile'}"
732,"{'heading': '185', 'target': 'yellow and brown fighter jet', 'tool': 'anti-air artillery'}","{'heading': '185', 'tool': 'anti - air artillery', 'target': 'yellow and brown fighter jet'}"
733,"{'heading': '310', 'target': 'white camouflage helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '310', 'tool': 'surface - to - air missiles', 'target': 'white camouflage helicopter'}"
734,"{'heading': '160', 'target': 'blue, orange, and grey commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti - air artillery', 'target': 'blue, orange, and grey commercial aircraft'}"
735,"{'heading': '040', 'target': 'red, black, and silver drone', 'tool': 'anti-air artillery'}","{'heading': '040', 'tool': 'anti - air artillery', 'target': 'red, black, and silver drone'}"
736,"{'heading': '200', 'target': 'grey, red, and blue drone', 'tool': 'drone catcher'}","{'heading': '200', 'tool': 'drone catcher', 'target': 'grey, red, and blue drone'}"
737,"{'heading': '210', 'target': 'silver cargo aircraft', 'tool': 'EMP'}","{'heading': '210', 'tool': 'emp', 'target': 'silver cargo aircraft'}"
738,"{'heading': '160', 'target': 'purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti - air artillery', 'target': 'purple helicopter'}"
739,"{'heading': '120', 'target': 'purple fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '120', 'tool': 'electromagnetic pulse', 'target': 'purple fighter jet'}"
740,"{'heading': '070', 'target': 'grey, brown, and silver missile', 'tool': 'electromagnetic pulse'}","{'heading': '070', 'tool': 'electromagnetic pulse', 'target': 'grey, brown, and silver missile'}"
741,"{'heading': '280', 'target': 'black and brown missile', 'tool': 'machine gun'}","{'heading': '280', 'tool': 'machine gun', 'target': 'black and brown missile'}"
742,"{'heading': '315', 'target': 'silver and brown commercial aircraft', 'tool': 'EMP'}","{'heading': '315', 'tool': 'emp', 'target': 'silver and brown commercial aircraft'}"
743,"{'heading': '135', 'target': 'purple and white fighter plane', 'tool': 'EMP'}","{'heading': '135', 'tool': 'emp', 'target': 'purple and white fighter plane'}"
744,"{'heading': '165', 'target': 'orange and green light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '165', 'tool': 'surface - to - air missiles', 'target': 'orange and green light aircraft'}"
745,"{'heading': '280', 'target': 'red, orange, and yellow light aircraft', 'tool': 'machine gun'}","{'heading': '280', 'tool': 'machine gun', 'target': 'red, orange, and yellow light aircraft'}"
746,"{'heading': '305', 'target': 'green, blue, and orange fighter plane', 'tool': 'anti-air artillery'}","{'heading': '305', 'tool': 'anti - air artillery', 'target': 'green, blue, and orange fighter plane'}"
747,"{'heading': '300', 'target': 'black, brown, and white helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '300', 'tool': 'electromagnetic pulse', 'target': 'black, brown, and white helicopter'}"
748,"{'heading': '245', 'target': 'yellow and red light aircraft', 'tool': 'machine gun'}","{'heading': '245', 'tool': 'machine gun', 'target': 'yellow and red light aircraft'}"
749,"{'heading': '025', 'target': 'green commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '025', 'tool': 'anti - air artillery', 'target': 'green commercial aircraft'}"
750,"{'heading': '060', 'target': 'blue, black, and yellow missile', 'tool': 'surface-to-air missiles'}","{'heading': '060', 'tool': 'surface - to - air missiles', 'target': 'blue, black, and yellow missile'}"
751,"{'heading': '070', 'target': 'yellow light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '070', 'tool': 'surface - to - air missiles', 'target': 'yellow light aircraft'}"
752,"{'heading': '125', 'target': 'brown light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '125', 'tool': 'electromagnetic pulse', 'target': 'brown light aircraft'}"
753,"{'heading': '160', 'target': 'white fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '160', 'tool': 'surface - to - air missiles', 'target': 'white fighter jet'}"
754,"{'heading': '130', 'target': 'brown, purple, and orange cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '130', 'tool': 'electromagnetic pulse', 'target': 'brown, purple, and orange cargo aircraft'}"
755,"{'heading': '130', 'target': 'red, orange, and yellow light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '130', 'tool': 'electromagnetic pulse', 'target': 'red, orange, and yellow light aircraft'}"
756,"{'heading': '215', 'target': 'green and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '215', 'tool': 'surface - to - air missiles', 'target': 'green and grey cargo aircraft'}"
757,"{'heading': '240', 'target': 'orange fighter plane', 'tool': 'machine gun'}","{'heading': '240', 'tool': 'machine gun', 'target': 'orange fighter plane'}"
758,"{'heading': '100', 'target': 'orange and red drone', 'tool': 'drone catcher'}","{'heading': '100', 'tool': 'drone catcher', 'target': 'orange and red drone'}"
759,"{'heading': '295', 'target': 'green, yellow, and brown commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '295', 'tool': 'electromagnetic pulse', 'target': 'green, yellow, and brown commercial aircraft'}"
760,"{'heading': '205', 'target': 'brown, blue, and grey fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '205', 'tool': 'surface - to - air missiles', 'target': 'brown, blue, and grey fighter jet'}"
761,"{'heading': '190', 'target': 'silver, blue, and white missile', 'tool': 'surface-to-air missiles'}","{'heading': '190', 'tool': 'surface - to - air missiles', 'target': 'silver, blue, and white missile'}"
762,"{'heading': '095', 'target': 'purple and green drone', 'tool': 'EMP'}","{'heading': '095', 'tool': 'emp', 'target': 'purple and green drone'}"
763,"{'heading': '185', 'target': 'black, white, and purple fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '185', 'tool': 'electromagnetic pulse', 'target': 'black, white, and purple fighter jet'}"
764,"{'heading': '360', 'target': 'blue and grey cargo aircraft', 'tool': 'EMP'}","{'heading': '360', 'tool': 'emp', 'target': 'blue and grey cargo aircraft'}"
765,"{'heading': '150', 'target': 'yellow, green, and brown cargo aircraft', 'tool': 'EMP'}","{'heading': '150', 'tool': 'emp', 'target': 'yellow, green, and brown cargo aircraft'}"
766,"{'heading': '215', 'target': 'grey and red light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '215', 'tool': 'electromagnetic pulse', 'target': 'grey and red light aircraft'}"
767,"{'heading': '310', 'target': 'red and yellow cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '310', 'tool': 'electromagnetic pulse', 'target': 'red and yellow cargo aircraft'}"
768,"{'heading': '055', 'target': 'orange, blue, and black drone', 'tool': 'drone catcher'}","{'heading': '055', 'tool': 'drone catcher', 'target': 'orange, blue, and black drone'}"
769,"{'heading': '120', 'target': 'blue and grey fighter plane', 'tool': 'EMP'}","{'heading': '120', 'tool': 'emp', 'target': 'blue and grey fighter plane'}"
770,"{'heading': '360', 'target': 'silver and grey fighter plane', 'tool': 'interceptor jets'}","{'heading': '360', 'tool': 'interceptor jets', 'target': 'silver and grey fighter plane'}"
771,"{'heading': '290', 'target': 'orange, white, and silver missile', 'tool': 'EMP'}","{'heading': '290', 'tool': 'emp', 'target': 'orange, white, and silver missile'}"
772,"{'heading': '255', 'target': 'red and black helicopter', 'tool': 'machine gun'}","{'heading': '255', 'tool': 'machine gun', 'target': 'red and black helicopter'}"
773,"{'heading': '090', 'target': 'grey and white missile', 'tool': 'anti-air artillery'}","{'heading': '090', 'tool': 'anti - air artillery', 'target': 'grey and white missile'}"
774,"{'heading': '155', 'target': 'white and brown helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': 'surface - to - air missiles', 'target': 'white and brown helicopter'}"
775,"{'heading': '200', 'target': 'blue and silver light aircraft', 'tool': 'machine gun'}","{'heading': '200', 'tool': 'machine gun', 'target': 'blue and silver light aircraft'}"
776,"{'heading': '275', 'target': 'white and silver light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '275', 'tool': 'electromagnetic pulse', 'target': 'white and silver light aircraft'}"
777,"{'heading': '320', 'target': 'orange fighter jet', 'tool': 'machine gun'}","{'heading': '320', 'tool': 'machine gun', 'target': 'orange fighter jet'}"
778,"{'heading': '280', 'target': 'blue and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '280', 'tool': 'anti - air artillery', 'target': 'blue and white light aircraft'}"
779,"{'heading': '010', 'target': 'orange commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '010', 'tool': 'anti - air artillery', 'target': 'orange commercial aircraft'}"
780,"{'heading': '055', 'target': 'white cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface - to - air missiles', 'target': 'white cargo aircraft'}"
781,"{'heading': '350', 'target': 'purple helicopter', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'machine gun', 'target': 'purple helicopter'}"
782,"{'heading': '250', 'target': 'blue, yellow, and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '250', 'tool': 'electromagnetic pulse', 'target': 'blue, yellow, and purple fighter plane'}"
783,"{'heading': '195', 'target': 'grey missile', 'tool': 'surface-to-air missiles'}","{'heading': '195', 'tool': 'surface - to - air missiles', 'target': 'grey missile'}"
784,"{'heading': '150', 'target': 'green missile', 'tool': 'electromagnetic pulse'}","{'heading': '150', 'tool': 'electromagnetic pulse', 'target': 'green missile'}"
785,"{'heading': '340', 'target': 'brown and orange fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '340', 'tool': 'surface - to - air missiles', 'target': 'brown and orange fighter plane'}"
786,"{'heading': '075', 'target': 'grey, orange, and brown drone', 'tool': 'drone catcher'}","{'heading': '075', 'tool': 'drone catcher', 'target': 'grey, orange, and brown drone'}"
787,"{'heading': '225', 'target': 'brown and white commercial aircraft', 'tool': 'EMP'}","{'heading': '225', 'tool': 'emp', 'target': 'brown and white commercial aircraft'}"
788,"{'heading': '060', 'target': 'grey fighter jet', 'tool': 'interceptor jets'}","{'heading': '060', 'tool': 'interceptor jets', 'target': 'grey fighter jet'}"
789,"{'heading': '225', 'target': 'yellow, silver, and white commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '225', 'tool': 'interceptor jets', 'target': 'yellow, silver, and white commercial aircraft'}"
790,"{'heading': '045', 'target': 'black, brown, and blue helicopter', 'tool': 'EMP'}","{'heading': '045', 'tool': 'emp', 'target': 'black, brown, and blue helicopter'}"
791,"{'heading': '055', 'target': 'blue and silver drone', 'tool': 'electromagnetic pulse'}","{'heading': '055', 'tool': 'electromagnetic pulse', 'target': 'blue and silver drone'}"
792,"{'heading': '095', 'target': 'black, yellow, and brown light aircraft', 'tool': 'EMP'}","{'heading': '095', 'tool': 'emp', 'target': 'black, yellow, and brown light aircraft'}"
793,"{'heading': '285', 'target': 'brown, green, and orange commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'surface - to - air missiles', 'target': 'brown, green, and orange commercial aircraft'}"
794,"{'heading': '300', 'target': 'black and red fighter plane', 'tool': 'interceptor jets'}","{'heading': '300', 'tool': 'interceptor jets', 'target': 'black and red fighter plane'}"
795,"{'heading': '010', 'target': 'silver missile', 'tool': 'EMP'}","{'heading': '010', 'tool': 'emp', 'target': 'silver missile'}"
796,"{'heading': '265', 'target': 'orange helicopter', 'tool': 'machine gun'}","{'heading': '265', 'tool': 'machine gun', 'target': 'orange helicopter'}"
797,"{'heading': '240', 'target': 'black helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '240', 'tool': 'surface - to - air missiles', 'target': 'black helicopter'}"
798,"{'heading': '325', 'target': 'green fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '325', 'tool': 'electromagnetic pulse', 'target': 'green fighter jet'}"
799,"{'heading': '350', 'target': 'purple fighter plane', 'tool': 'interceptor jets'}","{'heading': '350', 'tool': 'interceptor jets', 'target': 'purple fighter plane'}"
800,"{'heading': '065', 'target': 'silver, red, and blue drone', 'tool': 'electromagnetic pulse'}","{'heading': '065', 'tool': 'electromagnetic pulse', 'target': 'silver, red, and blue drone'}"
801,"{'heading': '105', 'target': 'black and brown light aircraft', 'tool': 'anti-air artillery'}","{'heading': '105', 'tool': 'anti - air artillery', 'target': 'black and brown light aircraft'}"
802,"{'heading': '025', 'target': 'silver commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '025', 'tool': 'anti - air artillery', 'target': 'silver commercial aircraft'}"
803,"{'heading': '005', 'target': 'black helicopter', 'tool': 'EMP'}","{'heading': '005', 'tool': 'emp', 'target': 'black helicopter'}"
804,"{'heading': '245', 'target': 'yellow, grey, and orange missile', 'tool': 'machine gun'}","{'heading': '245', 'tool': 'machine gun', 'target': 'yellow, grey, and orange missile'}"
805,"{'heading': '050', 'target': 'purple, blue, and orange fighter jet', 'tool': 'anti-air artillery'}","{'heading': '050', 'tool': 'anti - air artillery', 'target': 'purple, blue, and orange fighter jet'}"
806,"{'heading': '170', 'target': 'orange, brown, and red helicopter', 'tool': 'EMP'}","{'heading': '170', 'tool': 'emp', 'target': 'orange, brown, and red helicopter'}"
807,"{'heading': '330', 'target': 'white, purple, and red fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'electromagnetic pulse', 'target': 'white, purple, and red fighter plane'}"
808,"{'heading': '285', 'target': 'red, brown, and black fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'surface - to - air missiles', 'target': 'red, brown, and black fighter jet'}"
809,"{'heading': '055', 'target': 'yellow, orange, and green helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface - to - air missiles', 'target': 'yellow, orange, and green helicopter'}"
