key,transcript,prediction
670,"Deploy machine gun, engage white helicopter at heading one seven zero."," The floor machine gun, engage white helicopter and heading 170."
671,"Turret Alpha, lock surface-to-air missiles on silver commercial aircraft at heading zero zero five. Engage when ready.", Not surface to air missiles on silvocamotion aircraft at heading 005. Engage then ready.
672,"Engage, yellow, grey, and silver fighter plane heading one one zero, deploy machine gun.", Engage yellow grey and silver fighter plane heading 110 deploy machine go.
673,"Control to air defense turrets, we have an incoming threat at heading two zero zero. Deploy EMP tool against the silver and yellow missile."," 1, 2, and 2, and 2, and 2, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and 3, and"
674,"Control tower to turrets, deploy EMP at heading zero zero five. Target green, orange, and silver commercial aircraft."," Control Tower to turret. Deploy the MP at setting 005. Target green, 1-inch and silver commercial aircraft."
675,"Fire the machine gun at one four zero, targeting the blue and yellow fighter plane.", Fire the machine gun at 1.40 targeting the blue and yellow fight of name.
676,"Control to air defense turrets, heading zero six five, deploy the anti-air artillery against the orange and blue missile. Repeat, heading zero six five, engage the orange and blue missile with the anti-air artillery. Over."," Control to air defense turret, heading 065, deploy the anti-air artillery against the orange and blue missile. Repeat, heading 065, engage the orange and blue missile with the anti-air artillery."
677,"Control Tower to turrets, deploy EMP on silver commercial aircraft at heading zero four five."," Control tower to turrets, deploy EMP on Silver Commercial Aircraft at heading 045."
678,"Control tower to air defense turrets, deploy surface-to-air missiles on yellow and grey cargo aircraft heading zero two five.", Control tower to air defense storage. Deploy surface to air missiles on yellow and gray cargo aircraft heading 0 to 5.
679,"Scramble interceptor jets, engaging orange and brown commercial aircraft at heading one five five."," Crumble Intercepturgets, Engaging Orange and Brown Commercial Aircraft at heading 1-5-5."
680,"Air defense turret, engage the white, black, and purple drone at heading one five zero using the drone catcher. Engage with caution."," and a fan started, engaged the white, black and purple drone at heading 150 using the drone catcher, engaged with caution."
681,Deploy machine gun to engage yellow and red missile heading two six five., Deploy machine gun to engage yellow and red missile heading to 6.5.
682,"Turret Bravo, engage brown camouflage helicopter at heading two niner zero with machine gun fire.", Turret Bravo engaged brown camouflage helicopter at heady-2-9 or zero with machine gun fire.
683,"Control here, deploying EMP on red and grey camouflage cargo aircraft at heading three two zero. Over.", Control here to point EMP on red and gray camouflage cargo aircraft are heading 3 to 0.
684,"Control tower to turrets, deploy EMP, heading zero eight five, target is silver commercial aircraft. Engage and neutralize immediately."," Control Tower to turret, deploy EMP, heading 085, target is Silver Commercial Aircraft. Engage and neutralize immediately."
685,"Control to air defense turrets, we have a yellow cargo aircraft inbound. Deploy EMP tool and aim at heading three zero zero. Lock on and fire at will. Be ready to neutralize the threat. Over."," Control to air defense turrets, we have a Yamok logo aircraft inbound. Deploying P2 and AMA heading 300, lock on our fire wheel. Be ready to neutralize the under-air maneuver."
686,"Engage, yellow, orange, and silver cargo aircraft at heading zero four zero with EMP."," Engage yellow, orange and silver cargo aircraft at any 040 with the engine."
687,"Control to all turrets, we have a target identified as a grey, purple, and yellow drone heading two five five. Prepare to deploy the anti-air artillery. Stand by for further instructions. Over.", Control to alt direct. We have a target identified as a pre-purple and yellow drone heading 255. Prepare to deploy the anti-air artillery. Stand by for further instructions.
688,"Deploy EMP on target, heading one niner zero, brown and orange helicopter."," Deploy EMD on target, heading 190, Brown, and Orange helicopter."
689,"Control to air defense turrets, heading one one five. Deploy EMP on the brown, black, and purple helicopter. Execute immediately. Over."," Control to air defense turrets heading 115. Deploy EMC on the ground, relax and purple helicopter. Execute immediately over."
690,"Control to turret, deploy the drone catcher on a heading of zero niner five to intercept the yellow drone. Repeat, deploy the drone catcher to intercept the yellow drone on a heading of zero niner five. Over.", Control to turret deploy the drone catcher on a heading of 0.95 to intercept the yellow drone. Repeat deploy the drone catcher to intercept the yellow drone on a heading of 0.95 over.
691,"Control here, deploy the drone catcher tool to heading two eight five, target the black and purple drone. Engage and eliminate."," Control here, deploy the drone catcher tool to heading to 8.5. Target the black and purple drone. Engage and eliminate."
692,"Turret Echo, deploy electromagnetic pulse on heading one five zero, targeting white and purple fighter plane."," Torret Echo, deploy electromagnetic faults from heading 150 targeting white and purple fighter place."
693,"Turret Sierra, target red and silver helicopter at heading one six zero. Deploy EMP on my mark."," Direct Sierra, target Red and Silver helicopter at heading 160. Deploy EMP on my mark."
694,"Turrets, deploy EMP on blue and silver cargo aircraft at heading two eight zero. Engage target immediately."," Starous, deploy EMC on blue and silver cargo aircraft at heading 280. Engage target immediately."
695,"Turret Bravo, deploy surface-to-air missiles towards the silver helicopter at heading one one five."," Turret Bravo, deploy surface to air missiles towards the Silver Helicopter heading 115."
696,"Control to turrets, we have a target at heading two zero zero. Engage the brown and green fighter plane with electromagnetic pulse. Over."," Control to turret, we have a target at heading 200. Engage the brown and green fighter plane with electromagnetic pulse."
697,"Turret Charlie, target the white commercial aircraft at heading one four five. Deploy EMP."," So it's Charlie, target to the white commercial aircraft to the heading 145 deploy EMP."
698,Deploy electromagnetic pulse on brown fighter plane at heading two two zero., deploy electromagnetic sounds on brown fighter plane at heading 2 to 3.
699,"Fire surface-to-air missiles at heading zero three five, target silver and green light aircraft."," 5 sources to emphasize, I heading 035. Target silver and green light aircraft."
700,"Turret Alfa, deploy anti-air artillery towards the blue and white fighter plane heading two five zero. Turret Bravo, stand by for further instructions."," Turret Alpha, deploy anti-air artillery towards the blue and white fighter plane heading 250. Turret B Bravo, stand by for further instructions."
701,"Turret Romeo, heading zero five five, deploy EMP on red, yellow, and brown missile.", Start at Romeo heading 055 deploy EMP on red yellow and brown missiles.
702,"Control to air defense turrets, we have incoming orange, red, and purple light aircraft at heading two six zero. Mobilize and deploy electromagnetic pulse. Defend our airspace. Over."," Control to air defense turrets, we have incoming orange, red and purple light aircraft that heading 260. Mobileize and deploy electric magnetic pulse. Defend our airspace over."
703,"Engage, grey and blue fighter jet at heading one eight zero, deploy machine gun."," Engage grey and blue, fighter jet, and any 1-800-Deploy machine gun."
704,"Turret Alpha, heading zero five zero, deploy surface-to-air missiles, target grey missile.", Start it also heading 3 to 5 to 0 deploy surface to end the size target frame aside.
705,"Control to all turrets, ready anti-air artillery. Engage the orange, green, and purple fighter plane at heading one eight zero. Repeat, deploy anti-air artillery to intercept the enemy aircraft at coordinates one eight zero. Over."," Control to Worldcoherers, ready and air artillery, engaging the orange, green and purple fighter plane, at heading 180 repeat, deploy and air artillery to intercept the enemy aircraft at coordinate 180 over."
706,"Control here. Deploy the machine gun and engage the green, red, and white fighter jet at heading three five zero. Aim true and maintain fire until further orders are given. Over."," Control here, deploy the machine gun and engage the green, red and white fighter jet and heading 350. Aim true and maintain fire until further orders are given. Over."
707,"Control, this is Control. Deploy anti-air artillery at heading three six zero to engage the green light aircraft. Over.", Control. This is Control. You play anti-air artillery at heading 360 to engage the green light aircraft over.
708,"Control tower to air defense turrets, deploy anti-air artillery at heading one four five, target yellow helicopter.", Control tower to air defense turrets deploy anti air artillery at heading 145 target yellow helicopter
709,"Engage, brown, green, and black helicopter on heading one four five with machine gun."," Engage, brown, green, in black. Now they come here, heading one to four to five with a machine gun."
710,Deploy EMP on yellow cargo aircraft heading one six zero., The blue E&B on yellow cargo aircraft heading 160.
711,"Turret Echo, deploy EMP, target grey and silver camouflage cargo aircraft, heading zero one zero. Standby for impact."," Start at Echo, deploy EMP, target grey and silver camouflage cargo aircraft, heading 010. Stand by for impact."
712,"Turret Bravo, heading three four zero, EMP deploy on blue, black, and yellow light aircraft."," Turret Bravo. Heading 3 4 0, EMP deploy on blue, black and yellow light aircraft."
713,"Air defense turret, engage the target of the red and blue drone at heading one two five, deploy the machine gun."," Air Defense turret, engaged target of the red and blue drone and heading 125, deployed the machine gun."
714,"Control calling all turrets, we have an incoming orange and white fighter jet at heading two zero zero. Deploy EMP to neutralize the target. Repeat, deploy EMP on orange and white fighter jet at two zero zero. Over.", Control calling all turrets may have an incoming orange and white fighter jet at heading 200. Deploy EMP to neutralize the target. Repeat. Deploy EMP on orange and white fighter jet at 200 over.
715,"Control here. Attention all turrets, we have a brown, silver, and blue cargo aircraft designated as our target. Prepare to deploy anti-air artillery towards heading two niner zero. Execute with precision. Over."," Control here, Attention all credits we have a brown, silver and blue cargo aircraft designated as our target. Prepare to deploy anti-air artillery towards heading 290. Execute with precision. Over."
716,"Control tower to turrets, deploy anti-air artillery. Engage white and purple helicopter at heading zero niner five. Over."," Control tower to turret, deploy anti-air artillery, engage white and purple helicopter at heading 0-9-5 over."
717,"Ready turret, heading one seven five, engage EMP on orange and black helicopter. Launch now."," Ready turret, heading 175 engage EMP on Orange and Black helicopter. More now."
718,"Attention all turrets, we have a green and white light aircraft at heading three one five. Deploy EMP. Engage and neutralize the target immediately. Stay alert for any additional threats in the area. Over."," Attention all targets we have a green and white light aircraft that heading 3-1-5. Deploy EMP, engage and neutralize the target immediately. Stay alert for any additional threats in the area."
719,"Engage target, black, purple, and white fighter jet, heading three three five, with machine gun."," Engage target, black, purple and white, fire jet, heading 335 with machine goal."
720,"Deploy interceptor jets to heading one two zero, engage black fighter jet.", Deploy Interceptor Jet to heading 1 to 0. Engage Black Fighter Jet.
721,"Control to all turrets, prepare for EMP deployment at heading zero eight five. Target is a yellow and orange camouflage light aircraft. Commence operation immediately. Over."," Control to all targets, prepare for EMB deployment at heading 0.08 bar. Target is a yellow and orange camouflage light aircraft. Commence operation immediately."
722,"Control tower to air defense turrets, target one four zero, brown, white, and grey fighter plane. Deploy anti-air artillery."," Control tower to air defense turret target 1, 4, 0, ground, white and grey fight of lane deploy anti air artillery"
723,"Engage target, silver, red, and brown drone, with machine gun, heading zero six zero."," Engage target, silver, red and brown drone with machine gun. Heading 060."
724,"Control here. Deploy electromagnetic pulse. Heading zero four zero. Target is white, yellow, and orange light aircraft. Commence operation. Over."," Control here, deploy electromagnetic pulse, heading 040, target is white, yellow and orange light a-trashed, comments operation over."
725,"Turret Alpha, deploy surface-to-air missiles at heading one five five. Target the orange, brown, and black fighter plane. Defensive measures initiated. Standby for impact."," Turret Alpha deploy surface to air missiles and heading 1.5, target the orange brown and black fighter plane. Defensive measures initiated, standby for impact."
726,"Air defense turret, prepare to engage the green and grey fighter plane at heading one zero zero using surface-to-air missiles. Engage target now.", a different start prepared to engage the green and gray fighter plane at heading 100 using surface to air missiles. Engage target now.
727,"Turret Bravo, prepare to engage brown camouflage cargo aircraft at heading three zero five with surface-to-air missiles. Standby for authorization."," Third Bravo, Prepare to Engage Brown camouflage cargo aircraft at heading 3-0-5 with surface-to-air missiles standby for authorization."
728,"Control to air defense turrets, prepare to engage target at heading one six zero. Target is a red and purple fighter jet. Deploy anti-air artillery. Execute engage protocol. Over.", Control to air defense turrets. Prepare to engage target at heading 1.60. Target is a red and purple fighter jet. Deploy anti-air artillery. Execute engage protocol over.
729,"Control to turrets, we have a target heading zero eight zero. Deploy the drone catcher to intercept the black, white, and blue drone. Over."," Control to Torrance, we have a target heading in 080. Deploy the drone catcher to intercept the black, white and blue drone over."
730,"Air defense turret, target the green and yellow commercial aircraft at one three zero heading. Deploy EMP.", A defense turret targets a green and yellow commercially aircraft at 1300.
731,Deploy EMP on heading two six zero to neutralize the silver missile., deploy EMP on heading to 6-0 to neutralize the silver missile.
732,"Control, prepare to deploy anti-air artillery at heading one eight five. Target the yellow and brown fighter jet. Commence firing at will. Over."," Control, prepare to deploy and tier artillery at heading 185. Target the yellow and brown fighter jet. Commence firing at will. Over."
733,"Turret Alpha, engage white camouflage helicopter heading three one zero with surface-to-air missiles. Target locked. Launch at will."," Turn it over, engage it by camouflage, helicopter heading 3, 1,3, roll, we have the snap and the head, and the head, target, lock, roll, head, move."
734,"Engage the blue, orange, and grey commercial aircraft heading one six zero. Deploy anti-air artillery.", Engage the blue orange and gray commercial aircraft heading for the 60 nodes. Deploy anti-order our artillery.
735,"Turret Alpha, deploy anti-air artillery. Heading zero four zero. Engage the red, black, and silver drone."," Tare Talfa, deploy anti-air artillery, heading 040, engage the red, black and silver drone."
736,"Deploy drone catcher to intercept grey, red, and blue drone at heading two zero zero."," Deployed drone catcher to intercept gray, red and blue drone at heading 200."
737,"Control here, deploying EMP tool to intercept the silver cargo aircraft at heading two one zero. Take aim and fire at will. Over."," Control here, deploying the MP2 to intercept the silver cargo aircraft at heading to 1 field. Take aim and fire at risk."
738,"Engage target, purple helicopter, at heading one six zero, deploying anti-air artillery. Lock on and fire at will.", Engage target mobile helicopter at heading 160. You're blowing anti-air artillery. Lock on and fire at risk.
739,"Air defense turret, adjust heading to one two zero. Deploy electromagnetic pulse on target, purple fighter jet. Engage now."," Add a fan started, adjust heading to 120. Deploy electromagneting pulse on target, propis fighter jet, and gaze now."
740,"Control to air defense turrets, we have a grey, brown, and silver missile incoming on heading zero seven zero. Deploy electromagnetic pulse to neutralize the target. Over.", Control to air defenses. We have a gray brown and silver missile incoming on heading 0-70. Deploy electromagnetic pulse to neutralize the target over.
741,"Turret Mike, deploy machine gun to heading two eight zero. Engage black and brown missile.", Turned by the preliminary shing up to heading to a zero from gauge black and brown shadow.
742,Deploy EMP on silver and brown commercial aircraft at heading three one five., Keep low EMP on Silver and Brown Commercial Aircraft at heading 315.
743,"Engage target, purple and white fighter plane, with EMP. Heading one three five."," Engage target, purple and white fighter clean with EMP, heading 135."
744,"Engage target at heading one six five, orange and green light aircraft, deploy surface-to-air missiles.", Engage target at heading 165. Orange and green light aircraft. Deploy surface to air missiles.
745,"Turret Bravo, deploy machine gun on the red, orange, and yellow light aircraft heading two eight zero."," Torrid Bravo, deploy machine gun on the red orange angular light aircraft heading 280."
746,"Initiate anti-air artillery deployment on heading three zero five targeting green, blue, and orange fighter planes.", The Nish 8 and air artillery deployment on heading 305-thurve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-durve-dur
747,"Target at heading three zero zero, engage black, brown, and white helicopter with electromagnetic pulse. Target acquired. Fire the electromagnetic pulse."," Start at heading P00. In the black, brown, and white helicopter with image magnetic pulse. Target acquired, fire with image magnetic pulse."
748,"Control tower to turrets, target is yellow and red light aircraft heading two four five, deploy machine gun. Stand by for confirmation.", Control tower to turret. Target is yellow and red light aircraft heading 245. Deploy machine gun. Standby for confirmation.
749,"Engage, green commercial aircraft, heading zero two five, deploy anti-air artillery."," Engage, green commercial aircraft heading 0 to 5, deploy anti-air artillery."
750,"Control to all air defense turrets, we have a blue, black, and yellow missile incoming on a heading of zero six zero. Deploy surface-to-air missiles immediately. Repeat, blue, black, and yellow missile at zero six zero, engage with surface-to-air missiles. Over.", Control to all add defense turrets. You have a blue black and yellow missile incoming on a heading of 060. Deploy surface to air missiles immediately. Repeat blue black and yellow missile at 060. Engage with surface to air missile. And air. And air's over.
751,"Control to surface-to-air missiles, prepare to engage the yellow light aircraft at heading zero seven zero. Get ready to fire on my command. Over."," Control, diserges to air missiles appear to engage with yellow light aircraft heading 070. Get ready to fire on my command, over."
752,"Prepare to engage target, brown light aircraft, at heading one two five. Deploying electromagnetic pulse. Standby for confirmation of successful neutralization."," Prepare to engage targets, ground-like aircraft, as heading 1-2-5, deploying electromagnetic poles, standby for confirmation of successful neutralization."
753,"Engage target, white fighter jet, heading one six zero, with surface-to-air missiles."," Engage target, white fighter jet, heading 160 with surface to air missiles."
754,"Control tower to defense turrets, target located at heading one three zero. Deploy electromagnetic pulse on brown, purple, and orange cargo aircraft. Target acquired."," Control tower to defense turret, target located at heading 130. If relay electromagnetic pulse 1-round per per length 1-inch cargo aircraft, target is wired."
755,"Set the heading to one three zero, target the red, orange, and yellow light aircraft, deploy electromagnetic pulse."," Set the heading to 1300. Target the red, orange and yellow light aircraft. Deploy electromagnetic files."
756,"Alpha, Bravo, this is Control Tower. Target is green and grey cargo aircraft at heading two one five. Deploy surface-to-air missiles. Take aim and fire."," Alpha Bravo, which is controlled tower. Target is green and green, cargo aircraft at heading to one fire. If I surface to airmishes, take aim and fire."
757,"Engage target, orange fighter plane, heading two four zero, deploy machine gun.", Engage target orange fighter plane heading 240 to apply machine gun.
758,"Engage orange and red drone with drone catcher, heading one zero zero.", Engage orange and zed shown with shown cutter having 1 0 0.
759,"Firing electromagnetic pulse at green, yellow, and brown commercial aircraft on heading two niner five. Target locked, initiating strike."," firing electromagnetic poles at green, yellow and brown commercial aircraft on heading to 9 or 5. Target lock in Shading to try it."
760,"Air defense turret, lock on to the brown, blue, and grey fighter jet. Deploy surface-to-air missiles. Heading two zero five. Engage and neutralize the target.", Add a sand starlet. Lock onto the brown blue and grey fighter jet. Deploys surface to air missiles heading to 0.5. Engage and neutralize the target.
761,"Control to surface-to-air turrets, shift heading to one niner zero. Prepare to engage target identified as a silver, blue, and white missile using surface-to-air missiles. Execute with precision. Over."," Control to surface to air turrets shift heading to 190. Prepare to engage target identified as a silver, blue and white missile using surface to air missiles. Execute with precision."
762,Deploy EMP to intercept purple and green drone at heading zero niner five., The boy can be took into the SAP Poppin and Green Join at heading 0.95.
763,"Turret Foxtrot, electromagnetic pulse, engage the black, white, and purple fighter jet at heading one eight five. Stand by for authorization to fire."," Torrath fakutra, electromagnetic pole, engaged, the black, white and purple fighter jet, ad-hating 1-8-5. Stand by for another session to fire."
764,"Deploy EMP to heading three six zero, engage the blue and grey cargo aircraft.", Deploy DMP to heading 360 and gauge the blue and grey cargo aircraft.
765,"Turret Yankee, engage the yellow, green, and brown cargo aircraft at heading one five zero with EMP."," Tada diangkii, cage of the yellow green and brown cargo aircraft at heading 150 with the KMP."
766,"Deploy electromagnetic pulse, target grey and red light aircraft, heading two one five.", Deploy electromagnetic post target gray and red light aircraft heading 2-1-5.
767,Control here. Target is a red and yellow cargo aircraft. Deploy electromagnetic pulse. Heading three one zero. Execute. Over., Control here. Targeting the red and yellow cargo aircraft. Deploying the electromagnetic boat.
768,"Turret Alpha, deploy drone catcher. Target is an orange, blue, and black drone at heading zero five five."," Start at alpha, deploy drone capture. Target is an orange, blue and black drone at heading 0-5-5."
769,"Deploy EMP on heading one two zero, engage target blue and grey fighter plane."," The Palladium key on heading 1 to 0, in-gauge blue and gray fighter plane."
770,"Control to air defense turrets, this is a directive to engage the target, a silver and grey fighter plane, currently heading three six zero, with interceptor jets. Carry out the operation immediately. Over.", The crew to air defense are an active light directive to engage the target. The silver and grey fight-up scene currently heading 3-1-0 with in-depth ejector carry out the operation immediately over.
771,"Turret Alpha, deploy EMP on target, orange, white, and silver missile, heading two niner zero. Target locked, awaiting confirmation to engage."," Turret Alpha, Deploy EMP on target Orange White and Alpha Nano, heading 29th Arrow, target Foc at the waiting information to engage."
772,"Turret Romeo, deploy machine gun towards heading two five five, engage red and black helicopter.", Turn it Romeo deploy machine gun towards heading 255 and get red and black helicopter.
773,"Engage target, grey and white missile, at heading zero niner zero with anti-air artillery. Attack now."," Engage target, grey and white missile at heading 090 with anti-air artillery. Attack now."
774,"Deploy surface-to-air missiles, target is the white and brown helicopter at one five five. Engage immediately.", Deploy surface to air missile target is the white and ground helicopter at 155 N-gaze immediately.
775,"Deploy machine gun, heading two zero zero, target blue and silver light aircraft.", Deploy machine gun heading 200 target blue and satellite aircraft.
776,"Control to air defense turrets, target a white and silver light aircraft at heading two seven five. Deploy electromagnetic pulse. Take aim and fire at will.", Control to air defense targets target a white and silver light aircraft at heading to 75th. Deploy Electrum Magnetic Punch. Take aim and fire at will.
777,"Turret Oscar, engage the orange fighter jet with the machine gun at heading three two zero. Swift and accurate."," Start it also. Engage the orange spider set with the machine gun, adhering 3200, swift and accurate."
778,"Control tower to air defense turrets, deploy anti-air artillery to heading two eight zero. Target is a blue and white light aircraft. Seek and eliminate."," Control Tower to air descents turrets, deploy anti air artillery to heading 280. Target is a blue and white light aircraft, seek and eliminate."
779,"Control tower to air defense turrets, zero one zero heading, orange commercial aircraft targeted. Deploy anti-air artillery."," Control tower to air defense turret 010 heading, orange commercial aircraft target, deep air anti air artillery."
780,"Turret Bravo, heading zero five five, engage white cargo aircraft with surface-to-air missiles."," Turn it Bravo, heading 0 5 5 and gauge white cargo aircraft with surface to air missiles."
781,"Engage target, purple helicopter, bearing three five zero, with machine gun."," Engage targets purple helicopter, series 3-5-0 with machine guns."
782,"Turret Bravo, engage blue, yellow, and purple fighter plane at heading two five zero using electromagnetic pulse. Standby for confirmation."," Current Bravo engaging Blue, Yellow and Purple Fighter Flame at heading through 5-0 during electromagnetic problems standby for confirmation."
783,"Engage surface-to-air missiles, heading one niner five, target grey missile."," Engage still this to air missiles, heading 195 target-frame missiles."
784,"Activate electromagnetic pulse, heading one five zero, green missile target.", Activate electromagnet parts.
785,Deploy surface-to-air missiles on brown and orange fighter plane heading three four zero., Deploy service to air missiles on Brown and Orange fighter plane heading 3.40
786,"Control tower to turrets, deploy the drone catcher on a grey, orange, and brown drone at heading zero seven five."," Control tower to turret. Deploy the drone capture on a 3, 4-inch and ground drone at heading 07-5."
787,"Control to air defense turrets, focus your attention to heading two two five. Prepare to deploy EMP tool against the brown and white commercial aircraft. Engage and neutralize the target swiftly. Over.", Control to air defense turrets focus your attention to heading 225. Prepare to deploy EMP tool against the brown and white commercial aircraft engage and neutralize the target swiftly. Over.
788,Deploy interceptor jets to heading zero six zero. Engage target grey fighter jet., Deploying the sector debt to heading in little six zero. In these target grade fighters.
789,"Alpha, Bravo, Charlie, deploy interceptor jets to intercept the yellow, silver, and white commercial aircraft heading two two five."," Alpha Bravo Charlie deployed intercepted tests to intercept the yellow, silver and white commercial aircraft heading 225."
790,"Control tower to all air defense turrets, prepare to deploy EMP. Heading zero four five. Target is a black, brown, and blue helicopter. Engage and eliminate."," Control tower to all air defense turrets prepare to deploy EMB heading 045. Target is a black, brown and blue helicopter. Engage and eliminate."
791,"Bravo and Sierra turrets, target the blue and silver drone heading zero five five. Deploy electromagnetic pulse.", Bravo and Sierra turrets target the blue and silver drone heading 055 deploy electromagnetic pulse
792,"Turret E, target the black, yellow, and brown light aircraft at heading zero niner five, deploy EMP.", Torrati target the black yellow and brown light aircraft at heading 0.95 deploy EMP
793,"Turret Alpha, surface-to-air missiles, target the brown, green, and orange commercial aircraft at heading two eight five. Turret Bravo, standby for further instructions. Turret Charlie, standby for further instructions. Turret Delta, standby for further instructions."," Tare Tensor, surface to a missile. target the brown green and orange commercial aircraft at heading to 8-5. TareT Bravo, standby for further instructions. TareT Charlie, standby for further instructions. TareT, standby for further instructions."
794,Deploy interceptor jets to intercept the black and red fighter plane at heading three zero zero., Deploy and accept the content to set the black and red fighter plane heading 3-0-0.
795,"Air defense turret, deploy EMP on silver missile at heading zero one zero.", Add to the netherid employee MP on item from Naggler heading 0-1-0.
796,"Engage target, orange helicopter, with machine gun. Heading two six five."," Engage target for in the helicopter with machine gun, heading to 6-5."
797,"Tower to air defense turrets, heading two four zero. Deploy surface-to-air missiles. Target is black helicopter. Engage immediately."," Now, to add defense storage, heading 240, deploy service to air missiles target is black helicopter, engage immediately."
798,Deploy electromagnetic pulse on green fighter jet heading three two five., deploy electromagnetic pulse on green phyte jet heading 3 to 5.
799,Control tower to air defense turrets. Intercept purple fighter plane heading three five zero with interceptor jets. Protect airspace. Over.," Control tower to air defense turrets, intercept purple fighter plane heading 350 with intercept objects. Protect airspace, over."
800,"Control tower to turrets, engage electromagnetic pulse on silver, red, and blue drone heading zero six five."," Control tower to turrets. Engage electromagnetic pulse on silver, red and blue drone heading 065."
801,"Engage target, black and brown light aircraft, heading one zero five, deploy anti-air artillery."," Engage target, black and brown light aircraft, heading 105, deploy, and be air artillery."
802,"Control tower to air defense turrets, engage target at heading zero two five. Deploy anti-air artillery on silver commercial aircraft."," Control tower to air defense target. In case target, I'm heading zero to five. The purely anti air artillery, one single commercial aircraft."
803,Deploy EMP. Black helicopter at heading zero zero five., The Chloe and P Black helicopter at heading 0.05.
804,"Tower to turrets, deploy machine gun, engage yellow, grey, and orange missile at heading two four five."," Now, we're to carry the Blue Machine Gun, engage Yellow Grey and Orange Messiah in heading 2-4-5."
805,"Target the purple, blue, and orange fighter jet heading zero five zero. Deploy anti-air artillery. Protect our airspace.", Target the purple blue and orange fighter track heading 050. Deploy and tie it our village. Rotate our S-P.
806,"Control tower to air defense turrets, heading one seven zero, deploy EMP on orange, brown, and red helicopter."," Control tower to air. Defense turret, heading 170. Deploy the MP on orange brown and red helicopter."
807,"Deploy electromagnetic pulse against white, purple, and red fighter plane heading three three zero."," deploy electromagnetic pulse against white, purple and red fighter plane, heading 3, 3, 0."
808,"Control to air defense turrets, prepare to engage the red, brown, and black fighter jet at heading two eight five with surface-to-air missiles. Engage target immediately. Over."," Control to air the venturist prepared to engage the red, brown and black fighter jet and heading to 8-5. We have left the venturist engaged target immediately."
809,"Control addressing air defense turrets, prepare to deploy surface-to-air missiles. Heading zero five five. I repeat, heading zero five five. Target identified as yellow, orange, and green helicopter. Engage and neutralize the threat. Over."," Control-addressing air defense storage. Prepare to deploy surface to MSI. Heading 055. I repeat, heading 055. Target identified as yellow, orange, and green helicopter. Engage and neutralize the tray. Over."
810,"Control to air defense turrets, prepare to deploy surface-to-air missiles. Target the brown and blue light aircraft located at heading zero four five. Engage and neutralize the hostile threat swiftly and effectively. Over.", Control to air defense targets prepare to deploy surface to air missile target the brown and blue light aircraft located at heading 045 Engage and neutralize the hostile threat swiftly and effectively
811,"Control tower to all turrets, deploy EMP on target red camouflage missile heading two seven zero.", Control is power to point at its deploy EMP on target Red Karma's launch missile heading 270
812,"Deploy anti-air artillery on heading two six zero, target the orange fighter plane.", Deploy anti air artillery on heading to 6-0 target the orange fighter plane
813,"Control tower to all turrets, deploy EMP on grey fighter plane heading zero six five.", Control tower to alter it. Deploy the MP on great fighter plane heading 065.
814,"Control to turrets, we have a target of brown and blue light aircraft heading three zero five. Deploy electromagnetic pulse immediately. Repeat, deploy electromagnetic pulse towards brown and blue light aircraft heading three zero five. Over."," Control to current, we have a target of brown and blue light aircraft heading 305. Deploy electromagnetic pulse immediately. Repeat, deploy electromagnetic pulse towards brown and blue light aircraft heading 305. Over."
815,"Deploy EMP, heading zero two zero, target silver helicopter.", The floor ENB heading 020 target server helicopter.
816,"Air defense turrets, engage grey light aircraft at heading three four zero with EMP.", at defense turret and it's great light SR at heading 340 with EMB.
